,2-Level Local,,,G-Share,,,Perceptron,,,Alpha 21264,
,Misprediction/1000 Instrs,,,Misprediction/1000 Instrs,,,Misprediction/1000 Instrs,,,Misprediction/1000 Instrs,
Integer,8K + 64,12.856,,8K + 64,11.432,,8K + 64,9.695,,8K + 64,12.741
,16K + 128,11.007,,16K + 128,9.505,,16K + 128,7.99,,16K + 128,10.258
,32K + 256,9.541,,32K + 256,8.541,,32K + 256,6.587,,32K + 256,8.416
,64K + 512,9.488,,64K + 512,7.909,,64K + 512,6.059,,64K + 512,6.728
,128K + 1K,8.388,,128K + 1K,7.533,,128K + 1K,4.785,,128K + 1K,5.332
,1M + 4K,5.567,,1M + 4K,6.47,,1M + 4K,3.687,,1M + 4K,3.706
,,,,,,,,,,,
,,,,,,,,,,,
Floating Point,8K + 64,3.551,,8K + 64,4.443,,8K + 64,4.714,,8K + 64,3.641
,16K + 128,2.956,,16K + 128,4.298,,16K + 128,3.336,,16K + 128,3.278
,32K + 256,2.701,,32K + 256,4.131,,32K + 256,3.256,,32K + 256,2.707
,64K + 512,2.701,,64K + 512,3.838,,64K + 512,3.236,,64K + 512,2.466
,128K + 1K,2.636,,128K + 1K,3.676,,128K + 1K,2.733,,128K + 1K,2.474
,1M + 4K,2.899,,1M + 4K,3.314,,1M + 4K,2.495,,1M + 4K,2.426
,,,,,,,,,,,
Multimedia,8K + 64,10.912,,8K + 64,10.151,,8K + 64,8.464,,8K + 64,11.139
,16K + 128,10.494,,16K + 128,9.71,,16K + 128,8.232,,16K + 128,9.868
,32K + 256,10.349,,32K + 256,9.458,,32K + 256,7.838,,32K + 256,9.362
,64K + 512,10.286,,64K + 512,9.204,,64K + 512,7.693,,64K + 512,9.042
,128K + 1K,10.268,,128K + 1K,9.049,,128K + 1K,7.542,,128K + 1K,9.022
,1M + 4K,10.706,,1M + 4K,8.901,,1M + 4K,7.884,,1M + 4K,8.585
,,,,,,,,,,,
Server,8K + 64,15.77,,8K + 64,13.767,,8K + 64,12.621,,8K + 64,12.86
,16K + 128,14.044,,16K + 128,10.699,,16K + 128,10.797,,16K + 128,12.236
,32K + 256,11.641,,32K + 256,7.686,,32K + 256,7.781,,32K + 256,10.295
,64K + 512,9.11,,64K + 512,5.508,,64K + 512,4.937,,64K + 512,8.172
,128K + 1K,6.851,,128K + 1K,4.138,,128K + 1K,4.064,,128K + 1K,6.794
,1M + 4K,4.46,,1M + 4K,2.504,,1M + 4K,2.233,,1M + 4K,2.97
